vehicle,make,model,model_year,component,service_theme,complaint_count,recall_count,priority_score,priority,suggested_owner,sla,recommended_action,evidence_sample
2021 Tesla Model 3,Tesla,Model 3,2021,FORWARD COLLISION AVOIDANCE: SENSING SYSTEM: CAMERA,Safety-critical control issue,0,1,60,Medium,Customer Support Intake,3 business days,Track trend weekly and create support macro or service bulletin candidate if volume grows.,"Tesla, Inc. (Tesla) is recalling certain 2017-2021 Model S, Model 3, Model X, and 2020-2021 Model Y vehicles operating software version 2021.36.5.2. A communication error may cause false forward-collision warning (FCW) or unexpected activation of the automatic emergency brake (AEB) system."
2021 Tesla Model 3,Tesla,Model 3,2021,STEERING:AUTOMATED,Safety-critical control issue,0,1,60,Medium,Dealer Service + Product Quality,3 business days,Track trend weekly and create support macro or service bulletin candidate if volume grows.,"Tesla, Inc. (Tesla) is recalling certain 2016-2023 Model S, Model X, 2017-2023 Model 3, and 2020-2023 Model Y vehicles equipped with Full Self-Driving Beta (FSD Beta) software or pending installation. The FSD Beta system may allow the vehicle to act unsafe around intersections, such as traveling straight through an intersection while in a turn-only lane, entering a stop sign-controlled intersection without coming to a complete stop, or proceeding into an intersection during a steady yellow traffic signal without due caution. In addition, the system may respond insufficiently to changes in post"
2022 Chevrolet Silverado 1500,Chevrolet,Silverado 1500,2022,EXTERIOR LIGHTING:BRAKE LIGHTS,Safety-critical control issue,0,1,60,Medium,Customer Support Intake,3 business days,Track trend weekly and create support macro or service bulletin candidate if volume grows.,"General Motors (GM) has decided that certain 2022 model year Chevrolet Silverado, and GMC Sierra vehicles equipped with an accessory sport bar. The accessory sport bar contains a high-mounted brake light that may not function. In addition, it may block the vehicle's existing high-mounted brake light. As such, these vehicles may fail to conform to Federal Motor Vehicle Safety Standard (FMVSS) number 108, ""lamps, reflective devices, and associated equipment."""
2022 Chevrolet Silverado 1500,Chevrolet,Silverado 1500,2022,POWER TRAIN:AUTOMATIC TRANSMISSION:CONTROL MODULE:SOFTWARE,Driveability / power issue,0,2,60,Medium,Product Quality,3 business days,Track trend weekly and create support macro or service bulletin candidate if volume grows.,"General Motors, LLC (GM) is recalling certain 2020-2022 Chevrolet Silverado 1500, 2500, 3500, GMC Sierra 1500, 2500, 3500, 2021 Cadillac Escalade, Escalade ESV, Chevrolet Tahoe, Suburban, GMC Yukon, and Yukon XL vehicles equipped with diesel engines. The transmission control valve may fail and cause the rear wheels to lock-up."
2022 Hyundai Tucson,Hyundai,Tucson,2022,ELECTRICAL SYSTEM:SOFTWARE,Driveability / power issue,0,1,60,Medium,Product Quality + Dealer Service,3 business days,Track trend weekly and create support macro or service bulletin candidate if volume grows.,"Hyundai Motor America (Hyundai) is recalling certain 2022 Tucson vehicles. The software installed in the Integrated Central Control Unit (ICU) may be incompatible with the vehicle, which could result in inoperative headlights and/or taillights."
2022 Tesla Model 3,Tesla,Model 3,2022,ELECTRICAL SYSTEM: INSTRUMENT CLUSTER,Safety-critical control issue,0,1,60,Medium,Product Quality + Dealer Service,3 business days,Track trend weekly and create support macro or service bulletin candidate if volume grows.,"Tesla, Inc. (Tesla) is recalling certain 2012-2023 Model S, 2016-2024 Model X, 2017-2023 Model 3, 2019-2024 Model Y, and 2024 Cybertruck vehicles. An incorrect font size is displayed on the instrument panel for the Brake, Park, and Antilock Brake System (ABS) warning lights. As such, these vehicles fail to comply with the requirements of Federal Motor Vehicle Safety Standard number 105, ""Hydraulic and Electric Brake Systems"" and 135, ""Light Vehicle Brake Systems."""
2022 Tesla Model 3,Tesla,Model 3,2022,ELECTRICAL SYSTEM:ADAS:AUTONOMOUS,Electrical / software issue,0,2,60,Medium,Product Quality + Dealer Service,3 business days,Track trend weekly and create support macro or service bulletin candidate if volume grows.,"Tesla, Inc. (Tesla) is recalling certain 2016-2022 Model S and Model X, 2017-2022 Model 3, and 2020-2022 Model Y vehicles. The ""rolling stop"" functionality available as part of the Full Self-Driving (Beta) software may allow the vehicle to travel through an all-way stop intersection without first coming to a stop."
2022 Tesla Model 3,Tesla,Model 3,2022,ELECTRICAL SYSTEM:SOFTWARE,Electrical / software issue,0,3,60,Medium,Product Quality + Dealer Service,3 business days,Track trend weekly and create support macro or service bulletin candidate if volume grows.,"Tesla, Inc. (Tesla) is recalling certain 2021-2022 Model 3, Model S, Model X, and 2020-2022 Model Y vehicles. A software error may cause a valve in the heat pump to open unintentionally and trap the refrigerant inside the evaporator, resulting in decreased defrosting performance. As such, these vehicles fail to comply with the requirements of Federal Motor Vehicle Safety Standard number 103, ""Windshield Defrosting and Defogging Systems."""
2022 Tesla Model 3,Tesla,Model 3,2022,STEERING:AUTOMATED,Safety-critical control issue,0,1,60,Medium,Dealer Service + Product Quality,3 business days,Track trend weekly and create support macro or service bulletin candidate if volume grows.,"Tesla, Inc. (Tesla) is recalling certain 2016-2023 Model S, Model X, 2017-2023 Model 3, and 2020-2023 Model Y vehicles equipped with Full Self-Driving Beta (FSD Beta) software or pending installation. The FSD Beta system may allow the vehicle to act unsafe around intersections, such as traveling straight through an intersection while in a turn-only lane, entering a stop sign-controlled intersection without coming to a complete stop, or proceeding into an intersection during a steady yellow traffic signal without due caution. In addition, the system may respond insufficiently to changes in post"
2021 Tesla Model 3,Tesla,Model 3,2021,ELECTRICAL SYSTEM,Safety-critical control issue,19,0,58,Medium,Product Quality + Dealer Service,3 business days,Track trend weekly and create support macro or service bulletin candidate if volume grows.,"To Whom It May Concern, I am submitting this complaint to report a serious and potentially dangerous safety defect affecting my 2021 Tesla Model 3 Performance. After exposure to heavy rain or wet conditions, the vehicle’s horn completely stops functioning. The failure occurs regardless of the activation method—neither pressing the steering wheel horn nor using the horn via the mobile app produces any sound. The horn remains nonfunctional even though the vehicle is otherwise operable. This issue has occurred after the vehicle becomes wet due to rain and appears to be related to moisture intrusi"
2021 Toyota Camry,Toyota,Camry,2021,SERVICE BRAKES,Safety-critical control issue,10,0,57,Medium,Dealer Service + Product Quality,3 business days,Track trend weekly and create support macro or service bulletin candidate if volume grows.,"Owner bought new 2021 Camry XLR 4 cylinder all wheel drive. It currently has 39,000 miles on it. No problems until January 25, 2026. It was 11 degrees below zero, my car had the original battery. Car started without issue, I return to house to ""warm it up"" prior to driving. Upon my return I had multiple error codes; 1. AWD System Malfunction, 2 WD Engaged (Visit your Dealer), Secondary Collision Brake System Malfunction, Pre-Collision Brake System Malfunction, Parking Brake Malfunction, Check Engine light. I did NOT drive the car that day. Once the weather warmed up in Iowa, the number of code"
2022 Tesla Model 3,Tesla,Model 3,2022,AIR BAGS,Safety-critical control issue,10,0,57,Medium,Safety & Compliance,3 business days,Track trend weekly and create support macro or service bulletin candidate if volume grows.,Passenger safety restraint system fault error appears on and off without any correlation to driving conditions or passenger presence. This error is potentially deadly since it will cause the passenger airbag not to deploy in an accident.
2022 Toyota Camry,Toyota,Camry,2022,AIR BAGS,Safety-critical control issue,10,0,57,Medium,Safety & Compliance,3 business days,Track trend weekly and create support macro or service bulletin candidate if volume grows.,Undone: Been fraudulently mislead and charged by Toyota Dealership: Rudy Luther and Collision Center for SRS airbag and intentionally violated safety regulations and adherence towards critical procedures and protocols for handling consumer safely and effectively communicate. We have reasonably concluded this was not an accident and effective decision for all involved parties; however I would like to handle this matter in a correct manner as I am concerned as a conscience consumer who would like to be treated with respect and courtesy both ways.
2021 Tesla Model 3,Tesla,Model 3,2021,AIR BAGS,Safety-critical control issue,8,0,56,Medium,Safety & Compliance,3 business days,Track trend weekly and create support macro or service bulletin candidate if volume grows.,"The components involved are the automatic emergency braking (AEB) system and the airbag system. During the collision, the AEB system did not activate, and the airbags did not deploy. The vehicle is available for inspection upon request. I was driving on a main roadway with no stop signs or traffic controls in my direction when another driver entered from a side street with a stop sign and pulled directly in front of me. I was unable to avoid the collision, and my vehicle was struck the other vehicle. The failure of the AEB system to engage and the airbags not deploying increased the risk of in"
2021 Chevrolet Silverado 1500,Chevrolet,Silverado 1500,2021,SUSPENSION,Safety-critical control issue,6,0,56,Medium,Customer Support Intake,3 business days,Track trend weekly and create support macro or service bulletin candidate if volume grows.,"On 2-23-2026, while traveling at highway speeds on the freeway, the front upper and lower A-arms (control arms) suffered a complete structural failure. This caused an immediate loss of steering control, forcing the vehicle off the road. By sheer luck and reactive maneuvering, I was able to avoid a multi-vehicle collision; however, the failure resulted in over $4,000 in mechanical and body damage."
2022 Honda Civic,Honda,Civic,2022,SERVICE BRAKES,Safety-critical control issue,6,0,56,Medium,Dealer Service + Product Quality,3 business days,Track trend weekly and create support macro or service bulletin candidate if volume grows.,"The 2022 Honda Civic (Sport) with approx. 13,000 miles had been driving fine for the previous 10 minutes, on and off the highway, when I was almost home and on a more residential 25-30mph road. All of a sudden all of the warning lights went off on the dashboard at once, so I went to brake to slow down and pull over. But the brakes were completely failing - the pedal would just hit the back of the foot well. The emergency brake is electronic, so that wouldn't work either. I was lucky to be immediately next to a grocery store parking lot, so I roll into that. As soon as I make the turn flames be"
